AUDIT 10 — TRADER OUTPUT & DISPLAY COMPLIANCE AUDIT

SECTION 1 — DISPLAY INVENTORY
There are 7 dashboard tables total: Panel A (Command Center, top_right), Panel B (Belief Distributions, bottom_right), Panel C (Intelligence Engine, middle_left), Panel P3 (Recursive Wave Intel, bottom_center), Panel FU (FU Order Blocks, middle_right), ERF Panel (embedded in Panel C), FRZ Panel (Recursive Future Return, bottom_left). Total distinct fields: 95.
PANEL A — Command Center
Field	Variable	Source	Visible	Advanced	Unused	Deprecated
Header Phase Tag	ie1a_currentPhase + ie1a_phaseConfidence	Engine 1A	YES	NO	NO	NO
Action	directiveStr	Section 24 Trade State	YES	NO	NO	NO
Engine Armed/Locked	engineArmed	Section 21 Entry Lock	YES	NO	NO	NO
L0 Target	l0_targetWave	Unified Classifier	YES	NO	NO	NO
L0 Phase [IE1A]	ie1a_currentPhase	Engine 1A	YES	NO	NO	NO
IE1A BOS	ie1a_bos1Active/ie1a_bos2Active	Engine 1A	YES	NO	NO	NO
IE1A Induction	ie1a_inductionOriginBroken etc.	Engine 1A	YES	NO	NO	NO
Wave Type	isRecursiveWave, entryCycle	Wave Spawn Engine	YES	NO	NO	NO
Next Expected	expectedNextPhase, expectedNextProb	Prediction Engine	YES	NO	NO	NO
Direction	direction	Core	YES	NO	NO	NO
Structure	structBias	Structure Engine	YES	NO	NO	NO
Alignment	direction == structBias	Derived	YES	NO	NO	NO
HTF Bias	htfAlign	MTF Engine	YES	NO	NO	NO
Energy State [ERF]	eae_energyState, re_resolutionState	ERF	YES	NO	NO	NO
TF1 Exp	expScr_tf1, dir_tf1	HTF Belief Engine	YES	NO	NO	NO
TF2 Exp	expScr_tf2, dir_tf2	HTF Belief Engine	YES	NO	NO	NO
HTF Interp	htf_PrimaryInterp (= ie1a_currentPhase)	Engine 1A (relay)	YES	NO	YES — duplicate of L0 Phase	NO
Resonance	resonance	HTF Alignment Gate	YES	NO	NO	NO
Velocity	velocityScore	Physics Observer	YES	NO	NO	NO
PANEL B — Belief Distributions
Field	Variable	Source	Visible	Advanced	Unused	Deprecated
Expansion Belief	d_expansionBelief	Belief Engine	YES	NO	NO	NO
Convexity Belief	d_convexityBelief	Belief Engine	YES	NO	NO	NO
New High/Low Belief	d_creationBelief	Belief Engine	YES	NO	NO	NO
Absorption Belief	d_absorptionBelief	Belief Engine	YES	NO	NO	NO
Retracement Belief	d_retracementBelief	Belief Engine	YES	NO	NO	NO
Demand Return Belief	d_demandReturnBelief	Belief Engine	YES	NO	NO	NO
Exp Proximity	expansionProximity	Proximity Engine	YES	YES — diagnostic, candidate for Advanced	NO	NO
Conv Proximity	convexityProximity	Proximity Engine	YES	YES	NO	NO
Create Proximity	creationProximity	Proximity Engine	YES	YES	NO	NO
Absorb Proximity	absorptionProximity	Proximity Engine	YES	YES	NO	NO
Retr Proximity	retracementProximity	Proximity Engine	YES	YES	NO	NO
Exp Pre-Conv Evidence	expansionPreConvSeen	Section 14	YES	YES	NO	NO
Exp Induction Evidence	expansionInductionConf	Section 14	YES	YES	NO	NO
Retr Pre-Conv Evidence	retracementPreConvSeen	Section 14	YES	YES	NO	NO
Retr Induction Evidence	retracementInductionConf	Section 14	YES	YES	NO	NO
Induc Type	inducConfidence	Section 14	YES	YES	NO	NO
Physics: Expansion	obs_ExpansionScore	Physics Observation Layer	YES	YES	NO	NO
Physics: Decay	obs_DecayScore	Physics Observation Layer	YES	YES	NO	NO
Physics: Curvature	obs_CurvatureScore	Physics Observation Layer	YES	YES	NO	NO
Physics: Absorption	obs_AbsorptionScore	Physics Observation Layer	YES	YES	NO	NO
Physics: Liquidity	obs_LiquidityScore	Physics Observation Layer	YES	YES	NO	NO
